Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
52,NCT04830371,Non-inferiority and Safety Study of EuTCV Compared to Typbar-TCV in Healthy 6 Months-45 Years Aged Participants,Typhoid Fever,Biological: EuTCV (Vi-CRM Typhoid conjugate vaccine)|Biological: Typbar-TCV,"EuBiologics Co.,Ltd",Phase 2|Phase 3,444,Industry,"September 7, 2020","March 18, 2021","August 1, 2021"
53,NCT04821804,Local Application of Hyaluronic Acid (HYADENT BG) With Free Soft Tissue Grafing Improves Treatment Outcomes.,"Gingival Recession, Plastic Surgery",Drug: Hyaluronic Acid (HYADENT BG),Jordan University of Science and Technology,Phase 2|Phase 3,24,Other,"January 2, 2020","September 1, 2020","September 5, 2020"
54,NCT04821479,Repeated Mesenchymal Stem Cell Injections in ALS,Amyotrophic Lateral Sclerosis,Biological: Mesenchymal stem cells (MSC),Hadassah Medical Organization,Phase 1|Phase 2,20,Other,"January 1, 2016","June 30, 2020","December 31, 2020"
55,NCT04817800,"To Investigate Drug-drug Interaction and Relative Bioavailability Between the FDC AzelastineHCL/Beclomethasone Dipropionate Nasal Spray, & Beclomethasone Dipropionate Nasal Spray in the Test Vehicle, and RinoClenil® Nasal Spray",Seasonal Allergic Rhinitis,Drug: 140/100 μg Azelastine hydrochloride/Beclomethasone Dipropionate),Pharmactive Ilac Sanayi ve Tic A.S.,Phase 1|Phase 2,48,Industry,"March 25, 2021","April 10, 2021","April 10, 2021"
56,NCT04804423,Fluoride Therapies on Hypersensitive Carious Lesions in Primary Teeth,Dentin Hypersensitivity|Active Dental Caries,Drug: 38% Silver Fluoride and Potassium Iodide solution (generic name; Riva Star®)|Drug: Sodium fluoride varnish (generic name; Duraphat®),University Medicine Greifswald|SDI Limited,Phase 2|Phase 3,30,Other,"January 13, 2020","March 31, 2021","April 1, 2021"
57,NCT04799041,Gonyautoxin 2/3 in the Treatment of Acute Back Pain: A Clinical Proof-of-concept Study,Back Pain|Acute Pain,Drug: GTX 2/3|Drug: Placebo,Algenis SpA,Phase 1|Phase 2,30,Industry,"October 11, 2019","March 19, 2020","March 19, 2020"
58,NCT04784481,Ivermectin Reproposing for Mild Stage COVID-19 Outpatients,Covid19|SARS (Severe Acute Respiratory Syndrome),Drug: Ivermectin,"Ministry of Public Health, Argentina",Phase 1|Phase 2,254,Other,"September 20, 2020","December 20, 2020","January 18, 2021"
59,NCT04779606,"Efficacy, Safety and Local Tolerability Study of Chloroprocaine 3% Gel Eye Drops in Healthy Volunteers",Healthy Subjects,Drug: Ocular gel,Sintetica SA,Phase 1|Phase 2,105,Industry,"June 16, 2020","October 13, 2020","October 20, 2020"
60,NCT04767321,A Study to Evaluate the Safety and Efficacy of 3% LTX-109 for Nasal Decolonisation of Staphylococcus,Nasal Decolonization of Staphylococcus Aureus,"Drug: LTX-109 gel, 3% w/w|Drug: Placebo",Pharma Holdings AS|CTC Clinical Trial Consultants AB,Phase 1|Phase 2,15,Industry,"February 22, 2021","March 23, 2021","June 1, 2021"
61,NCT04767269,Efficacy of Cuminum Cyminum Herbal =Preparation in Inhibition of Plaque and Gingivitis.,Chronic Gingivitis,Drug: Cuminum Cyminum|Drug: herbal Mouthwash,Maharishi Markendeswar University (Deemed to be University),Phase 2|Phase 3,30,Other,"January 1, 2019","January 15, 2021","January 31, 2021"
62,NCT04756206,Role of Dutasteride in Treatment of Chronic Prostatitis,Dutasteride|Category IIIB Chronic Prostatitis,Drug: Dutasteride 0.5 mg|Drug: Placebo,Ain Shams University,Phase 2|Phase 3,50,Other,"January 1, 2019","January 1, 2020","September 1, 2020"
63,NCT04753710,"Efficacy, Safety and Tolerability Study of Chloroprocaine 3% Gel Eye Drops in Healthy Volunteers",Healthy Volunteers,Drug: Ocular gel,Sintetica SA,Phase 2|Phase 3,96,Industry,"June 29, 2020","November 6, 2020","December 9, 2020"
64,NCT04747158,COVID-19 Convalescent Plasma Therapy,SARS-CoV-2 Infection|COVID-19 Infection,Biological: Convalescent plasma,"Universidad Nacional de Asunción|Consejo Nacional de Ciencias y Tecnología, Paraguay|Ministerio de Salud Pública y Bienestar Social, Paraguay|Centro de información y recursos para el desarrollo, Paraguay",Phase 2|Phase 3,350,Other,"August 10, 2020","December 10, 2020","January 10, 2021"
65,NCT04729491,EAT-DUTA AndroCoV Trial,Covid19,Drug: Dutasteride 0.5 mg|Drug: Azithromycin|Drug: Nitazoxanide|Drug: Placebo,Corpometria Institute,Phase 2|Phase 3,138,Other,"June 30, 2020","September 15, 2020","October 7, 2020"
66,NCT04724538,Inhalation Low Dose Radionuclide Therapy in Treatment COVID-19,"Covid19|Pneumonia, Viral",Radiation: 99mTc-pertechnetate aerosol|Drug: 99mTc-pertechnetate aerosol,National Medical Research Radiological Centre of the Ministry of Health of Russia,Phase 1|Phase 2,25,Other,"October 15, 2020","February 10, 2021","March 15, 2021"
67,NCT04705753,"Assessment of the Clinical Effectiveness of a Herbal Extract (Cretan IAMA) in Patients With Viral Respiratory Infections, Including COVID-19, in Primary Healthcare Settings, and Co-assessment of Its Prophylactic Effect in People Cohabiting With These Patients",Covid19|Viral Infection|Respiratory Viral Infection,Dietary Supplement: Cretan IAMA,University of Crete|Galenica SA|Olvos Science SA,Phase 2|Phase 3,20,Other,"April 1, 2020","October 15, 2020","October 15, 2020"
68,NCT04704622,"Comparison Between Dexmeditomidine, Midazolam and Ketamine as a Sedative to Help Cannula Insertion in Pediatric Patient",Cannula Site Pain,Drug: Ketamine|Drug: Midazolam|Drug: Dexmedetomidine,Ain Shams University,Phase 2|Phase 3,150,Other,"January 1, 2021","February 15, 2021","February 15, 2021"
69,NCT04701710,Prophylaxis Covid-19 in Healthcare Agents by Intensive Treatment With Ivermectin and Iota-carrageenan,Covid19|SARS (Severe Acute Respiratory Syndrome),Drug: Ivermectin / Iota-Carrageenan,"Maria de los Angeles Peral de Bruno|Ministry of Public Health, Argentina",Phase 1|Phase 2,300,Other,"October 15, 2020","December 18, 2020","December 31, 2020"
70,NCT04693312,"Injection of Dorsal Scapular n at Different Levels, Dose it Make Difference?","Pain, Chronic",Drug: Depo medrol,Assiut University,Phase 2|Phase 3,60,Other,"January 1, 2020","March 1, 2020","July 1, 2020"
71,NCT04688346,Cardiovascular Effects of Racemic Epinephrine Pellets,Epinephrine Causing Adverse Effects in Therapeutic Use,Drug: HemeRX epinephrine pellets,University of Washington,Phase 2|Phase 3,13,Other,"June 10, 2019","November 30, 2019","November 30, 2019"
72,NCT04685512,Effect of Tenofovir/Emtricitabine in Patients Recently Infected With SARS-COV2 (Covid-19) Discharged Home,Covid19,Drug: tenofovir disoproxil and emtricitabine,"University Hospital, Caen",Phase 2|Phase 3,60,Other,"November 18, 2020","April 1, 2021","May 1, 2021"
73,NCT04680143,Systemic Erythropoietin Injection in Patients Having Optic Atrophy,Optic Atrophy,Drug: Systemic erythropoietin injection,Alexandria University,Phase 1|Phase 2,10,Other,"September 1, 2020","March 1, 2021","March 30, 2021"
74,NCT04675177,Polidocanol Foam VS Artery Ligation in Hemorrhoidal Disease,Hemorrhoids,Drug: Polidocanol foam sclerotherapy|Procedure: Doppler-guided hemorrhoidal artery ligation,Universidade do Porto,Phase 2|Phase 3,45,Other,"September 1, 2019","February 1, 2020","March 25, 2020"
75,NCT04674332,Long Acting Insulin Versus Multiple Dose Regimen for Control of Gestational Diabetes Mellitus,Long Acting Insulin in Control of Gestational Diabetes Mellitus,Drug: Long acting insulin|Drug: multiple dose regimen,Ain Shams University,Phase 2|Phase 3,148,Other,"September 1, 2019","December 14, 2020","December 14, 2020"
76,NCT04671017,"Dose Finding Study to Evaluate The Safety, Tolerability and Immunogenicity of an Inactiviated, Adjuvanted SARS-CoV-2 Virus Vaccine Candidate Against Covid-19 in Healthy Subjects",SARS-CoV-2 Virus Infection,Biological: VLA2001,"Valneva Austria GmbH|National Institute for Health Research, United Kingdom",Phase 1|Phase 2,153,Industry|Other,"December 16, 2020","February 26, 2021","April 6, 2022"
77,NCT04670107,The Combination of Anlotinib and Immune Checkpoint Inhibitors for Advanced NSCLC Patients With Muti-line Therapy,NSCLC|Angiogenesis|Immunotherapy,Drug: Anlotinib in combination with Immune checkpoint inhibitors,The Affiliated Hospital of Qingdao University,Phase 1|Phase 2,30,Other,"June 1, 2018","October 1, 2020","November 1, 2020"
78,NCT04656067,Comparative Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate,"Blood Loss, Surgical|Blood Loss, Postoperative","Drug: Oxytocin ,Tranexamic acid and Ethamsylate",Egymedicalpedia,Phase 1|Phase 2,230,Industry,"April 1, 2020","October 1, 2020","November 10, 2020"
79,NCT04655937,Wellbeing After Stroke (WAterS),Stroke|Psychological Distress|Cognitive Dysfunction|Communication Disorders|Psychological Adjustment,Other: Acceptance and Commitment Therapy,University of Manchester|Stroke Association,Phase 1|Phase 2,20,Other,"January 5, 2021","March 15, 2021","May 1, 2023"
80,NCT04655625,Phase II / III Study of COVID-19 DNA Vaccine (AG0302-COVID19),COVID-19,Biological: Group A (AG0302-COVID19)|Biological: Group A (Placebo)|Biological: Group B (AG0302-COVID19)|Biological: Group B (Placebo),"AnGes, Inc.|Japan Agency for Medical Research and Development",Phase 2|Phase 3,500,Industry|Other,"November 23, 2020","April 2, 2021","February 1, 2022"
81,NCT04654624,Child Discomfort and Parental Acceptability of Silver Diamine Fluoride and Alternative Restorative Treatment,Dental Caries|Child Discomfort,Drug: SDF|Drug: ART,Nourhan M.Aly|Alexandria University|Princess Nourah Bint Abdulrahman University|University of Alexandria,Phase 2|Phase 3,80,Other,"October 12, 2018","October 1, 2019","October 30, 2019"
82,NCT04644926,The Effect of Remote Ischemic Conditioning on the Microcirculation in Sepsis,Septic Shock|Sepsis,Procedure: Remote ischemic conditioning,Lithuanian University of Health Sciences,Phase 1|Phase 2,26,Other,"February 1, 2018","September 1, 2020","September 1, 2020"
83,NCT04643678,Anakinra in the Management of COVID-19 Infection,Covid19|Pneumonia|Cytokine Release Syndrome|Corona Virus Infection|Viral Infection,Drug: Anakinra|Other: Standard of Care,Hamad Medical Corporation,Phase 2|Phase 3,80,Industry,"October 30, 2020","March 1, 2021","April 30, 2021"
