Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
11,NCT05812326,PD-1 Knockout Anti-MUC1 CAR-T Cells in the Treatment of Advanced Breast Cancer,Advanced Breast Cancer|Breast Neoplasm Malignant Female,Drug: AJMUC1- PD-1 gene knockout anti-MUC1 CAR-T cells,"Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|Guangzhou Anjie Biomedical Technology Co., Ltd.",Phase 1|Phase 2,15,Other|Industry,"May 17, 2019","November 16, 2022","November 16, 2022"
12,NCT05809336,Gut Microbial Metabolites Inosine Combined With PD-1/PD-L1 Inhibitor for Patients With Malignant Advanced Solid Tumors,Advanced Solid Tumor,"Drug: Inosine 0.2g orally 3 times/day|Drug: PD-1/PD-L1 inhibitor ,chemotherapy/targeting",Beijing Friendship Hospital,Phase 2|Phase 3,172,Other,"May 1, 2019","October 31, 2022","October 31, 2022"
13,NCT05801367,Allium Sativum Oil as Alternative Non-vital Pulpotomy Medicament in Primary Teeth,Non-Vital Tooth,Drug: Formocresol|Drug: Allium Sativum Oil,University of Health Sciences Lahore|Lahore General Hospital,Phase 1|Phase 2,40,Other,"October 20, 2022","February 23, 2023","March 2, 2023"
14,NCT05801354,Turmeric Gel as Alternative Non-vital Pulpotomy Medicament in Primary Teeth,Non-Vital Tooth,Drug: Turmeric Gel|Drug: Formocresol,University of Health Sciences Lahore|Lahore General Hospital,Phase 1|Phase 2,40,Other,"October 20, 2022","February 23, 2023","March 2, 2023"
15,NCT05797818,Red Light Photobiomodulation and Topical Disinfectants,Healthcare Associated Infection|Nosocomial Infection|Surgical Site Infection,Device: Methylene Blue Only|Device: Chlorhexidine Gluconate Only|Device: Methylene Blue + Chlorhexidine Gluconate|Device: Light Only,Ondine Biomedical Inc.,Phase 1|Phase 2,28,Industry,"January 10, 2023","February 8, 2023","February 8, 2023"
16,NCT05783206,Evaluation of Safety & Efficacy of MIR 19 ® Inhalation Solution in Patients With Mild COVID-19,COVID-19,Drug: MIR 19 ®|Combination Product: Standard therapy,National Research Center - Institute of Immunology Federal Medical-Biological Agency of Russia,Phase 2|Phase 3,534,Other,"February 10, 2022","May 3, 2022","May 3, 2022"
17,NCT05768542,Sympathetic and Vascular Function in Takotsubo Syndrome,Takotsubo Cardiomyopathy,Drug: Metoprolol Injection|Drug: Saline,Danderyd Hospital,Phase 1|Phase 2,31,Other,"April 12, 2016","March 23, 2022","January 23, 2023"
18,NCT05743634,A Phase I/II Study of Recombinant Botulinum Toxin Type A for the Treatment of Moderate to Severe Glabellar Lines,Moderate to Severe Glabellar Lines,Biological: YY001|Biological: OnabotulinumtoxinA|Biological: Placebo,"Chongqing Claruvis Pharmaceutical Co., Ltd.",Phase 1|Phase 2,140,Industry,"March 22, 2022","February 13, 2023","February 13, 2023"
19,NCT05737173,Intraarticular Leukocyte-rich and Leukocyte-poor PRP for Osteoarthritis of the Knee,Osteo Arthritis Knee,Drug: Leukocyte-rich platelet-rich plasma|Drug: Leukocyte-poor platelet-rich plasma|Drug: Corticosteroid,"Queen Savang Vadhana Memorial Hospital, Thailand",Phase 2|Phase 3,93,Other,"August 3, 2020","September 1, 2022","October 1, 2022"
20,NCT05712148,Spheroidal Mesenchymal Stem Cells in Retinitis Pigmentosa,Retinitis Pigmentosa|Stem Cell Transplant,Biological: Stem cell implantation,Acibadem University,Phase 1|Phase 2,15,Other,"October 11, 2019","January 30, 2022","June 14, 2022"
21,NCT05699161,Adipose-derived Stromal Vascular Fraction Cells to Treat Parkinson,Idiopathic Parkinson Disease|Parkinson's Disease and Parkinsonism,Genetic: Adipose-derived stromal vascular fraction cells,"Samuel Vilchez, PhD|Wake Forest University|Ministerio de Salud, Nicaragua|GID BIO, Inc.|National Autonomous University of Nicaragua",Phase 1|Phase 2,10,Other|Industry,"October 14, 2021","October 31, 2022","October 31, 2022"
22,NCT05659654,The Application of Ursodeoxycholic Acid for the Prevention of SARS-CoV-2 Infection (COVID-19),COVID-19,Drug: Ursodeoxycholic acid,Institute of Hematology & Blood Diseases Hospital,Phase 1|Phase 2,95,Other,"December 16, 2022","March 3, 2023","March 8, 2023"
23,NCT05658549,Effect of N-Acetylcysteine on Neutrophil Lymphocyte Ratio And Length of Stay In COVID-19 Patients,COVID-19,Drug: N-acetyl cysteine,Universitas Sebelas Maret,Phase 1|Phase 2,120,Other,"May 1, 2021","July 30, 2021","July 30, 2021"
24,NCT05658406,Supplemental Perioperative Intravenous Crystalloids for Postoperative Nausea and Vomiting in Children Undergoing Oncological Surgery,"Nausea and Vomiting, Postoperative",Drug: Ringer's Lactate|Drug: normal Saline,Alexandria University,Phase 2|Phase 3,100,Other,"January 10, 2022","July 5, 2022","September 27, 2022"
25,NCT05657717,Safety Profile of Applied 100% Manuka Honey in Tympanoplasty,Chronic Suppurative Otitis Media|Tympanic Membrane; Wound,Drug: Manukamed - Manukapli 100% sterile honey wound dressing - Premium medical grade 16+ Leptospermum Scoparium New Zealand honey,Fakultas Kedokteran Universitas Indonesia,Phase 2|Phase 3,64,Other,"July 13, 2021","September 29, 2022","September 29, 2022"
26,NCT05653245,The Use of Adhesion Molecule Loaded Hydrogel With Minimally Invasive Surgical Technique in Treatment of Periodontal Intrabony Defect,Periodontitis,Drug: RGD Peptide,Minia University,Phase 1|Phase 2,45,Other,"March 15, 2021","February 5, 2022","September 9, 2022"
27,NCT05641558,Evaluation of 611 in Chinese Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Drug: 611 150mg|Drug: 611 300mg|Drug: 611 600mg|Other: Placebo,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",Phase 1|Phase 2,24,Industry,"October 18, 2021","October 21, 2022","October 21, 2022"
28,NCT05638893,Metformin as Adjuvant Therapy in Obese Knee Osteoarthritis Patients,Knee Osteoarthritis,Drug: Placebo Tablet|Drug: Metformin Hcl 500Mg Tab,Tanta University,Phase 2|Phase 3,50,Other,"February 1, 2021","March 12, 2022","April 15, 2022"
29,NCT05636566,Comparing TIVA Using Propofol or Dexmedetomidine Versus Sevoflurane During Anaesthesia of Children Undergoing Bone-Marrow Aspiration,Invasive Cancer|Pediatric Cancer,Drug: Sevoflurane|Drug: Propofol infusion for maintance|Drug: Dexmedetomidine,Alexandria University,Phase 2|Phase 3,60,Other,"February 15, 2022","September 15, 2022","October 25, 2022"
30,NCT05616598,Effect of New Oral Treatment for Hepatitis C Virus on Seminal Parameters,Male Infertility|HCV,Drug: Sofosbuvir +daclatasvir+ simeprevir+Ribavirin,Benha University,Phase 2|Phase 3,200,Other,"March 1, 2022","November 25, 2022","December 31, 2022"
31,NCT05607641,Efficacy and Safety Study of Ketorolac / Pitofenone / Fenpiverinium for the Treatment of Patients With Pain After Surgical Abdominal and Pelvic Operations,Postsurgical Pain,"Drug: Ketorolac tromethamine, solution for injection then Neospastil, film-coated tablets|Drug: Ketorolac tromethamine, solution for injection then Ketorolac tromethamine, coated tablets|Drug: Neospastil, solution for injection then Neospastil, film-coated tablets",Darnitsa Pharmaceutical Company,Phase 2|Phase 3,424,Industry,"July 7, 2021","May 7, 2022","May 13, 2022"
32,NCT05605262,Effects of 100% Medical Grade Manuka Honey on Tympanic Membrane Reconstruction Healing.,"Otitis Media, Suppurative|Tympanic Membrane Perforation",Drug: Manukamed - Manukapli 100% sterile honey wound dressing - Premium medical grade 16+ Leptospermum Scoparium New Zealand honey,Fakultas Kedokteran Universitas Indonesia,Phase 2|Phase 3,64,Other,"June 13, 2021","September 29, 2022","September 29, 2022"
33,NCT05593562,Study on Human Mass Balance of SPH3127 Tablets,Primary Mild and Moderate Hypertension,Drug: SPH3127,"Shanghai Pharmaceuticals Holding Co., Ltd",Phase 1|Phase 2,6,Industry,"October 16, 2022","October 24, 2022","October 24, 2022"
34,NCT05585658,"A Randomized, Double-blinded, Active Controlled Crossover Clinical Trial to Investigate PK, PD and Safety of GBPD002",Natural Blood and Blood Product Toxicity,Biological: Erythropoietin alpha,Globe Biotech Limited,Phase 1|Phase 2,42,Industry,"October 16, 2021","November 14, 2021","December 16, 2021"
35,NCT05585112,Articaine 4% Versus Lidocaine 2% for Local Anesthesia of MIH-affected Maxillary Molars,Molar Incisor Hypomineralisation,Drug: Lidocaine 2%|Drug: Articaine 4%,Tishreen University,Phase 1|Phase 2,26,Other,"October 17, 2022","December 5, 2022","December 25, 2022"
36,NCT05574543,A Phase I/II Study of AGA111 for Lumbar Interbody Fusion in Patients With Degenerative Disc Disease,Degenerative Disc Disease,Drug: AGA111|Drug: Placebo,Angitia Biopharmaceuticals,Phase 1|Phase 2,60,Industry,"December 1, 2020","July 13, 2022","July 13, 2022"
37,NCT05567081,Efficacy of Ultrasound-Guided PRP Versus Corticosteroid Injection in Patients With Ulnar Neuropathy at Elbow,Ulnar Neuropathy at Elbow,Drug: Triamcinolone Acetonide 40mg/mL|Drug: PRP,Tanta University,Phase 2|Phase 3,60,Other,"June 1, 2021","April 21, 2022","July 11, 2022"
38,NCT05560919,Acceleration of Orthodontic Tooth Movement,Mild to Moderate Anterior Mandibular Segment Crowdind,Drug: Dihydroxycholecalciferols|Other: dimethyl sulfoxide|Other: serum,Tishreen University,Phase 2|Phase 3,18,Other,"September 20, 2021","April 30, 2022","June 25, 2022"
39,NCT05552625,The Efficacy and Safety of TADIOS as an Adjuvant Therapy in Patients Diagnosed With Mild to Moderate COVID-19,COVID-19,Drug: TADIOS|Drug: Placebo,"Helixmith Co., Ltd.",Phase 2|Phase 3,100,Industry,"May 6, 2021","February 24, 2022","February 24, 2022"
40,NCT05545670,Allopurinol to Prevent Cirrhosis Related Morbidities,Cirrhosis,Drug: Placebo|Drug: Allopurinol 300 MG,Tanta University,Phase 2|Phase 3,100,Other,"June 15, 2022","February 15, 2023","March 1, 2023"
41,NCT05535569,"Phase Ib/II Study to Evaluate the Safety and Efficacy of Nivolumab in Combination With Paclitaxel in Epstein-Barr Virus(EBV)-Related, or Microsatellite Instability-High (MSI-H), or Programmed Cell Death Ligand 1 (PD-L1) Positive Advanced Gastric Cancer",Recurrent/Metastatic Gastric Cancer,"Drug: Nivolumab, Paclitaxel",Yonsei University,Phase 1|Phase 2,50,Other,"July 17, 2017","November 22, 2021","November 22, 2021"
42,NCT05531344,Composite Steep-pulseTreatment Device Used in Patients With Benign Prostatic Hyperplasia,Benign Prostatic Hyperplasia,Device: Composite Steep-pulse Treatment Device|Drug: Tamsulosin Hydrochloride Capsules,REMD Medical Technology|RenJi Hospital|Dongfang Hospital Affiliated to Tongji University|Shanghai Pudong Hospital|Qilu Hospital of Shandong University|Ningbo No.2 Hospital|Shangdong Yiyuan Hospital|Tongji Hospital|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|Hunan Provincial People's Hospital,Phase 2|Phase 3,160,Industry|Other,"August 20, 2020","July 8, 2022","July 8, 2022"
43,NCT05515120,Rivaroxaban Plus Aspirin to Manage Recurrent Venous Thromboembolic Events,Venous Thromboembolism|Anticoagulant-induced Bleeding|Venous Thromboses|Pulmonary Embolism,Drug: Rivaroxaban 20 MG [Xarelto]|Drug: Aspirin 300mg|Drug: Acenocoumarol Oral Tablet,Instituto Mexicano del Seguro Social,Phase 2|Phase 3,58,Other,"January 3, 2021","January 9, 2022","July 1, 2022"
44,NCT05506176,A Clinical Study to Evaluate the Efficacy and Safety of SIM0417 Orally Co-Administered With Ritonavir in Symptomatic Adult Participants With Mild to Moderate COVID-19,COVID-19,Drug: SIM0417|Drug: Placebo,"Jiangsu Simcere Pharmaceutical Co., Ltd.",Phase 2|Phase 3,1208,Industry,"August 19, 2022","January 23, 2023","March 21, 2023"
45,NCT05498012,CBD Effects on Periodontal Health of Patients With Chronic Periodontitis,Chronic Periodontitis,"Combination Product: placebo dental gel, placebo toothpaste|Combination Product: Cannabidiol dental gel, Cannabidiol toothpaste|Combination Product: Placebo toothpaste, Corsodyl dental gel",Palacky University|CB21 Pharma Ltd.,Phase 1|Phase 2,90,Other,"November 5, 2020","January 27, 2022","February 1, 2022"
46,NCT05496179,The Effect of Prucalopride on Gastric Emptying in Intensive Care Unit Patients,Enteral Feeding Intolerance,Drug: Prucalopride|Drug: Metoclopramide,Ain Shams University|Future University in Egypt,Phase 1|Phase 2,70,Other,"March 7, 2022","July 10, 2022","July 15, 2022"
47,NCT05487404,A Clinical Trial to Evaluate the Safety and Efficacy of ADX-629 in in Subjects With Elevated Ethanol Levels,Ethanol Intoxication,Drug: ADX-629|Drug: Placebo,"Aldeyra Therapeutics, Inc.",Phase 1|Phase 2,26,Industry,"November 15, 2021","May 29, 2022","May 29, 2022"
48,NCT05487300,Effect of Levodopa on Cardiovascular Autonomic Function in Parkinson's Disease,Parkinson Disease|Orthostatic Hypotension,Drug: Autonomic testing on and off levodopa,University of Utah,Phase 2|Phase 3,40,Other,"May 11, 2022","May 1, 2023","May 1, 2023"
49,NCT05466344,the Condylar Response of Mini-plate Anchored Rigid Fixed Functional Appliance Versus Dentally Anchored Semi-rigid One,Class II Malocclusion,Device: Herbst Group|Device: TFBC Group,Al-Azhar University,Phase 2|Phase 3,20,Other,"June 15, 2020","March 10, 2022","April 15, 2022"
50,NCT05460338,"Vitamin D, Oxidative Stress and Inflammation in Hemodialysis",Oxidative Stress|Inflammation|Vitamin D Deficiency,Drug: Cholecalciferol,Ain Shams University,Phase 2|Phase 3,25,Other,"May 15, 2022","September 15, 2022","January 26, 2023"
51,NCT05449405,Chlorpheniramine Nasal Spray to Accelerate COVID-19 Clinical Recovery in an Outpatient Setting: ACCROS-I,COVID-19|Symptoms and Signs|COVID-19 Pandemic|Coronavirus Disease 2019|Coronavirus Infections,Combination Product: Chlorpheniramine Maleate 1% Nasal Spray|Combination Product: Placebo,"Dr. Ferrer BioPharma|Hospital CEMESA Cortés, San Pedro Sula, Honduras",Phase 2|Phase 3,101,Industry|Other,"December 7, 2021","March 11, 2022","March 11, 2022"
52,NCT05445921,Stellate Ganglion Block for COVID-19-Induced Olfactory Dysfunction,Anosmia|Hyposmia|Parosmia|Olfactory Disorder,Drug: Stellate Ganglion Block,Washington University School of Medicine,Phase 1|Phase 2,20,Other,"September 1, 2022","December 12, 2022","December 12, 2022"
53,NCT05440526,the Mini-plate Anchored Herbst Appliance Versus the Dentally Anchored Fixed Functional Appliance,Class II Malocclusion,Procedure: Herbst Group|Device: TFBC Group,Al-Azhar University,Phase 2|Phase 3,20,Other,"September 10, 2020","March 8, 2022","April 15, 2022"
54,NCT05430243,Empagliflozin as a Novel Therapy in Refractory Ascites,Ascites Hepatic,Drug: Empagliflozin 10 MG|Drug: Diuretics,Alexandria University,Phase 2|Phase 3,42,Other,"April 21, 2022","November 12, 2022","November 12, 2022"
55,NCT05424315,Impact of DApagliflozin on Cardiac Function Following Anterior Myocardial Infarction in Non-Diabetic Patients,Anterior MI,Drug: Dapagliflozin 10mg|Drug: Glucose Tab,"Omar Younis|Ain Shams University|National Heart Institute, Egypt",Phase 2|Phase 3,100,Other,"October 1, 2021","April 30, 2022","April 30, 2022"
56,NCT05413330,Corticosteroid Injection Combined With Cataract Surgery in Diabetic Eyes.,Diabete Type 2|Cataract|Triamcinolone Acetonide|Intravitreal Injection,Drug: Triamcinolone Acetonide,Damascus University,Phase 2|Phase 3,73,Other,"September 12, 2020","January 5, 2022","March 29, 2022"
57,NCT05398913,Effects of Rimonabant on Walking Abilities in Incomplete Spinal Cord Injury,Spinal Cord Injuries,Drug: Rimonabant,Hospital Nacional de Parapléjicos de Toledo,Phase 1|Phase 2,8,Other,"May 12, 2021","June 7, 2022","June 7, 2022"
58,NCT05377619,Preventing Gastric Glitch With Prucalopride and Buspirone: N-of-1 Clinical Trial,Dyspepsia,Drug: Prucalopride|Drug: Buspirone|Drug: Placebo,Universidade de Passo Fundo,Phase 1|Phase 2,1,Other,"January 6, 2022","March 6, 2022","March 6, 2022"
59,NCT05375838,"A Safety, Reactogenicity, and Immunogenicity Study of mRNA-1073 (COVID-19/Influenza) Vaccine in Adults 18 to 75 Years Old",SARS-CoV-2|Influenza,Biological: mRNA-1073|Biological: mRNA-1010|Biological: mRNA-1273|Biological: Placebo,"ModernaTX, Inc.",Phase 1|Phase 2,553,Industry,"May 13, 2022","December 29, 2022","December 29, 2022"
60,NCT05375188,To Evaluate if Dexmedetomidine Infusion Provides Renal Protection in Patients Undergoing Coronary Artery Bypass Graft,Acute Kidney Injury,Drug: Dexmedetomidine|Drug: Normal Saline,"National Institute of Cardiovascular Diseases, Pakistan",Phase 2|Phase 3,60,Other,"August 1, 2021","January 31, 2022","January 31, 2022"
61,NCT05372991,"Safety, Tolerability and Pharmacodynamics Evaluation of CBT-009 Eye Drop","Myopia, Progressive",Drug: CBT-009|Drug: Vehicle|Drug: Atropine Sulfate,"Cloudbreak Therapeutics, LLC|Novotech (Australia) Pty Limited",Phase 1|Phase 2,84,Industry,"July 20, 2022","January 18, 2023","January 20, 2023"
62,NCT05366101,Lifestyle and Pharmacological Interventions in Hypertrophic Cardiomyopathy,Hypertrophic Cardiomyopathy,Drug: Sacubitril/Valsartan|Behavioral: Lifestyle,Newcastle-upon-Tyne Hospitals NHS Trust|University Hospital Regensburg|Assistance Publique - Hôpitaux de Paris|Azienda Ospedaliero-Universitaria Careggi|Institute for Cardiovascular Diseases of Vojvodina,Phase 2|Phase 3,168,Other,"April 1, 2019","February 28, 2022","March 31, 2022"
63,NCT05361031,The Safety and Tolerability of Engensis (VM202) in Patients With Charcot-Marie-Tooth Disease Subtype 1A (CMT1A),CMT,Biological: Engensis (VM202),"Helixmith Co., Ltd.",Phase 1|Phase 2,12,Industry,"September 21, 2020","September 9, 2021","September 9, 2021"
64,NCT05359055,Drug-drug Interaction Study of SPH3127,Drug Drug Interaction,Drug: SPH3127 tablet|Drug: Itraconazole|Drug: Rifampin,"Shanghai Pharmaceuticals Holding Co., Ltd",Phase 1|Phase 2,40,Industry,"December 13, 2021","January 21, 2022","January 21, 2022"
65,NCT05352555,Automated Robotic Maneuvering System (RMS) vs Manual Reposition Maneuver in Treatment of Benign Paroxysmal Positional Vertigo (BPPV),Benign Paroxysmal Positional Vertigo,Device: Automated vertigo repositioning chair|Other: Canalith Reposition Maneuver,"Stratejik Yenilikci Girisimler Ltd.|Haseki Sultangazi Teaching and Research Hospital, University of Health Sciences",Phase 1|Phase 2,75,Industry|Other,"February 15, 2022","April 12, 2022","April 23, 2022"
66,NCT05344248,"Safety, Tolerance, Efficacy and Pharmacokinetics of JS005 Multiple Dosing",Moderate to Severe Psoriasis,Biological: JS005 (recombinant humanized monoclonal antibody against IL-17A)|Biological: JS005 placebo,"Shanghai Junshi Bioscience Co., Ltd.",Phase 1|Phase 2,183,Other,"January 20, 2021","October 28, 2022","November 1, 2022"
67,NCT05333289,A Study of mRNA-1020 and mRNA-1030 Seasonal Influenza Vaccines in Healthy Adults,Seasonal Influenza,Biological: mRNA-1030|Biological: mRNA-1020|Biological: mRNA-1010|Biological: Active Comparator,"ModernaTX, Inc.",Phase 1|Phase 2,572,Industry,"April 6, 2022","November 22, 2022","November 22, 2022"
68,NCT05326152,Intralesional Versus Intramuscular Hepatitis B Vaccine Immunotherapy for Warts,Intralesional Versus Intramuscular Hepatitis B Vaccine for Multiple Common Warts,"Biological: hepatitis B vaccine immunotherapy of common warts (GeneVac-B 10 ml vial, Serum Institute of India Ltd., Pune, India)|Biological: Intralesional saline",Zagazig University,Phase 1|Phase 2,75,Other,"November 25, 2020","June 20, 2021","October 25, 2021"
69,NCT05325775,"Dose-ranging, PK, Safety, Efficacy Study of Osanetant in Patients With Moderate/Severe VMS Associated With Menopause",Post-menopausal Vasomotor Symptoms,Drug: ACER-801 50 mg BID|Drug: ACER-801 100 mg BID|Drug: ACER-801 200 mg BID|Drug: Placebo,Acer Therapeutics Inc.,Phase 1|Phase 2,49,Industry,"March 30, 2022","March 4, 2023","March 4, 2023"
70,NCT05324735,Pentoxifylline for Treatment of Resistant Major Depression,Resistant Major Depression,Drug: Pentoxifylline|Drug: Placebo,Hawler Medical University,Phase 1|Phase 2,60,Other,"December 15, 2021","May 4, 2022","June 4, 2022"
71,NCT05318456,The Safety and Efficacy of MoodElite T-4003-1 on Improving Mood in a Healthy Adult Population With Mild to Moderate Depressive Symptoms Not Eligible for Therapeutic Intervention,Mood,Dietary Supplement: MoodElite T-4003-1|Dietary Supplement: Comparator|Other: Placebo,Chenland Nutritionals Inc.|KGK Science Inc.,Phase 1|Phase 2,44,Industry,"March 24, 2022","January 19, 2023","March 20, 2023"
72,NCT05313035,Safety and Immunogenicity Study of COVID-19 Protein Subunit Recombinant Vaccine,COVID-19,Biological: SARS-CoV-2 protein subunit recombinant vaccine|Biological: placebo,"PT Bio Farma|Faculty of Medicine, Universitas Indonesia, Jakarta|Faculty of Medicine, Diponegoro University, Semarang|Faculty of Medicine, Universitas Andalas, Padang|Faculty of Medicine, Universitas Hassanudin, Makassar",Phase 2|Phase 3,360,Industry|Other,"April 13, 2022","July 22, 2022","February 28, 2023"
73,NCT05310760,Effectiveness of Vitamin C Supplementation in Treatment of Rickets,Nutritional Rickets|Bone Turnover Rate Disorder,Drug: Vit C,Cairo University,Phase 2|Phase 3,88,Other,"March 1, 2022","July 1, 2022","December 31, 2022"
74,NCT05308212,"Tolerability, Safety and Immunogenicity Trial of the FLU-M® Tetra",Influenza,Biological: Flu-M Tetra [Inactivated split influenza vaccine] w/p|Biological: Flu-M Tetra [Inactivated split influenza vaccine] w/o/p|Biological: Ultrix [Inactivated split influenza vaccine],St. Petersburg Research Institute of Vaccines and Sera,Phase 2|Phase 3,633,Other,"March 4, 2021","July 30, 2021","September 6, 2021"
75,NCT05300802,The Role of Dexmedetomidine As Myocardial Protection In Pediatric Cyanotic Congenital Heart Disease Undergoing Open Cardiac Surgery Using Cardiopulmonary Bypass Machine: A Preliminary Study,Congenital Heart Disease in Children|Cardiopulmonary Bypass,Drug: Placebo|Drug: Dexmedetomidine Hcl 100 Mcg/mL Inj,National Cardiovascular Center Harapan Kita Hospital Indonesia,Phase 2|Phase 3,15,Other,"December 16, 2021","May 16, 2022","July 16, 2022"
76,NCT05298813,Phase 1/2 Study to Evaluate the Efficacy and Safety of Inhaled IBIO123 in Participants With Mild to Moderate COVID-19 Illness,COVID-19,Biological: IBIO123|Other: Placebo,Immune Biosolutions Inc,Phase 1|Phase 2,162,Industry,"September 29, 2021","January 4, 2023","January 4, 2023"
77,NCT05298696,Efficacy of Cilostazol in Prevention of Peripheral Neuropathy,Peripheral Neuropathy|Breast Cancer,Drug: Cilostazol|Drug: Placebo,Mansoura University,Phase 1|Phase 2,71,Other,"March 28, 2022","October 30, 2022","December 30, 2022"
78,NCT05271253,Comparison Between Different Anaesthesia Techniques Protecting Renal Function in Children Undergoing Radicle Nephrectomy,"Renal Injury|Child, Only",Drug: Dexmedetomidine|Drug: bupivacaine|Drug: normal Saline,Alexandria University,Phase 2|Phase 3,75,Other,"April 10, 2021","November 29, 2021","January 15, 2022"
79,NCT05271084,Pentoxifylline as an Adjunct to Citalopram in Adult Patients With Major Depressive Disorder,Major Depressive Disorder,Drug: Citalopram (tablet) 20 mg + Pentoxifylline (tablet) 400Mg|Drug: Citalopram (tablet) 20 mg + Placebo (tablet),Hawler Medical University,Phase 1|Phase 2,100,Other,"November 10, 2021","February 25, 2022","June 8, 2022"
80,NCT05266456,"Safety, Tolerability, and Immunogenicity Study of a 24-Valent Pneumococcal Conjugate Vaccine (VAX-24) in Adults",Pneumococcal Vaccines,Biological: 24 valent pneumococcal conjugate vaccine|Biological: 20 valent pneumococcal conjugate vaccine,"Vaxcyte, Inc.",Phase 1|Phase 2,771,Industry,"February 22, 2022","January 10, 2023","January 10, 2023"
